Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link
Esto costarán las suscripciones a MiBici en el 2023;26/11/2022;EL Informador;Bicicleta;Bici pública;Costo;https://www.informador.mx/jalisco/MiBici-2023-Esto-costaran-las-suscripciones-al-programa-de-bicicleta-publica-20221126-0059.html
Por abandono y fallas del servicio, MiBici pierde casi la mitad de usuarios en tres años;25/11/2022;UDGTV;Bicicleta;Bici pública;Varios;https://udgtv.com/noticias/por-abandono-y-fallas-mibici-pierde-usuarios/
Vulnerabilidad de ciclistas en calles de Guadalajara;24/11/2022;Reporte indigo;Bicicleta;Ciclovía;Infraestructura;https://www.reporteindigo.com/reporte/vulnerabilidad-de-ciclistas-en-calles-de-guadalajara-movilidad/
Ciclistas denuncian poncha llantas en el circuito JVC;24/11/2022;Trafico ZMG;Bicicleta;Inseguridad;Varios;https://traficozmg.com/2022/11/ciclistas-denuncian-ponchallantas-en-el-circuito-jvc/
Reportan 14 ciclistas muertos en la ZMG;21/11/2022;EL Informador;Bicicleta;Siniestralidad;Bici blanca;https://www.informador.mx/jalisco/Vialidad-Reportan-14-ciclistas-muertos-en-la-ZMG-20221121-0001.html
Suman 14 ciclistas muertos en la ZMG;21/11/2022;NTR Guadalajara;Bicicleta;Siniestralidad;Bici blanca;https://www.ntrguadalajara.com/post.php?id_nota=190302
Roban a Mi Bici 374 unidades;21/11/2022;Mural;Bicicleta;Bici pública;Robo;https://www.mural.com.mx/roban-a-mi-bici-374-unidades/ar2507612
Ponen ciclovía y la abandonan;18/11/2022;Pagina 24 Jalisco;Bicicleta;Ciclovía;Mantenimiento;https://pagina24jalisco.com.mx/2022/11/18/local/ponen-ciclovia-y-la-abandonan/
"Usuarios de MiBici demandan más puertos y seguridad; denuncian asaltos en zonas poco iluminadas";10/11/2022;Canal 44;Bicicleta;Bici pública;Mantenimiento;https://www.youtube.com/watch?v=gvRJ6KUHO5A
Usuarios de MiBici se quejan del servicio;08/11/2022;NTR Guadalajara;Bicicleta;Bici pública;Denuncia;https://www.ntrguadalajara.com/post.php?id_nota=189742
Dos meses después, tapatíos comienzan a adaptarse al Bus-Bici;08/11/2022;Canal 44;Bicicleta;Bus bici;Seguridad;https://www.youtube.com/watch?v=ai-IVdKh2-4
Aumentan multas por invadir áreas ciclistas;06/11/2022;EL Informador;Bicicleta;Coches;Varios;https://www.informador.mx/jalisco/Vialidad-Aumentan-multas-por-invadir-areas-ciclistas-20221106-0035.html
Aumentan ciclistas y piden ampliar MiBici;05/11/2022;EL Informador;Bicicleta;Bici pública;Infraestructura;https://www.informador.mx/jalisco/MiBici-Aumentan-ciclistas-y-piden-ampliar-el-programa-20221105-0032.html
Usuarios critican aumento al costo de MiBici;05/11/2022;EL Informador;Bicicleta;Bici pública;Varios;https://www.informador.mx/jalisco/MiBici-Usuarios-critican-aumento-al-costo-del-servicio-de-transporte-20221105-0084.html
"Ciclovías impactan en aumento de usuarios; piden más seguridad y conexión";04/11/2022;EL Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Ciclovias-en-ZMG-impactan-en-aumento-de-usuarios-piden-cultura-vial-seguridad-y-conexion-20221104-0108.html
Ciclistas piden mejorar mantenimiento y ampliar MiBici;04/11/2022;EL Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/MiBici-Ciclistas-piden-solicitar-mejorar-mantenimiento-y-ampliar-el-programa-20221104-0110.html
Trabajos en ciclovía de Federalismo representan riesgo para conductores;04/11/2022;Trafico ZMG;Bicicleta;Ciclovía;Varios;https://traficozmg.com/2022/11/trabajos-de-ciclovia-en-federalismo-riesgo-para-conductores/
Proponen alza en multas, refrendo y MiBici en 2023;03/11/2022;EL Informador;Bicicleta;Bici pública;Costo;https://www.informador.mx/Presupuesto-Jalisco-Proponen-alza-en-multas-refrendo-y-MiBici-en-2023-l202211030001.html
Ciclistas piden al profe Michel más espacios en Puerto Vallarta;03/11/2022;Vive Vallarta;Bicicleta;Ciclovía;Infraestructura;https://vivepuertovallarta.mx/2022/11/03/ciclistas-piden-al-profe-michel-mas-espacios-en-puerto-vallarta/
Solo 2% de tapatíos usan bici como medio de transporte;01/11/2022;Mural;Bicicleta;Uso;Varios;https://www.mural.com.mx/solo-2-de-tapatios-usan-bici-como-medio-de-transporte/ar2496553
"Por abandono de obras; ciclovía de avenida Las Torres causa múltiples accidentes";28/10/2022;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2022/10/por-abandono-de-obras-ciclovia-de-avenida-las-torre-causa-multiples-accidentes/
Guadalajara cuenta con 258 kilómetros de ciclovías segregadas;26/10/2022;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2022/10/guadalajara-cuenta-con-258-kilometros-de-ciclovias-segregadas/
Ciclovía al camellón, piden vecinos de Guadalupe;20/10/2022;Mural;Bicicleta;Ciclovía;Varios;https://www.mural.com.mx/ciclovia-al-camellon-piden-vecinos-de-guadalupe/ar2490228
Vecinos exigen modificación de ciclovía en Avenida Guadalupe;18/10/2022;NTR Guadalajara;Bicicleta;Ciclovía;Manifestaciones;https://www.ntrguadalajara.com/post.php?id_nota=188858
"Ciclovías son necesarias para seguridad de ciclistas; colectivo Bici Blanca a manifestantes";18/10/2022;Milenio;Bicicleta;Ciclovía;Siniestralidad;https://www.milenio.com/politica/comunidad/bici-blanca-ciclovias-necesarias-seguridad-ciclistas
Retomarán protestas contra coclovía de avenida Guadalupe;17/10/2022;Notisistema;Bicicleta;Ciclovía;Manifestaciones;https://www.notisistema.com/noticias/retomaran-protestas-contra-coclovia-de-avenida-guadalupe/
Retomarán protestas vs. Ciclovía de Avenida Guadalupe;16/10/2022;Mural;Bicicleta;Ciclovía;Manifestaciones;https://www.mural.com.mx/retomaran-protestas-vs-ciclovia-de-avenida-guadalupe/ar2487321
Guadalajara suma kilómetros a su ruta ciclista;13/10/2022;Expansión;Bicicleta;Ciclovía;Infraestructura;https://obras.expansion.mx/infraestructura/2022/10/13/que-ciclovias-hay-jalisco
Con bici paseo «Ponte Rosa» recorrerán las calles de La Huerta;13/10/2022;Letra;Bicicleta;Rodadas;Salud;https://letrafria.com/con-bici-paseo-ponte-rosa-recorreran-las-calles-de-la-huerta/
Abandonan obras de ciclovía en Las Torres;11/10/2022;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=188573
“Que haya ciclovías… Pero bien planeadas”;09/10/2022;Pagina 24 Jalisco;Bicicleta;Ciclovía;Infraestructura;https://pagina24jalisco.com.mx/2022/10/09/local/que-haya-ciclovias-pero-bien-planeadas/
Va MC por ciclovías obligadas;05/10/2022;Mural;Bicicleta;Ciclovía;Infraestructura;https://www.mural.com.mx/va-mc-por-ciclovias-obligadas/ar2481479
En 2022 aumentan robos y vandalismo a unidades de Mi Bici Pública;04/10/2022;Milenio;Bicicleta;Bici pública;Robos;https://www.milenio.com/politica/comunidad/bici-publica-2022-aumentan-robos-vandalismo
Ciclovía en la zona de El Bajío estará terminada en noviembre;01/10/2022;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/ciclovia-en-la-zona-de-el-bajio-estara-terminada-en-noviembre
En enero iniciará construcción de ciclovía en Av. Javier Mina;29/09/2022;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Guadalajara-En-enero-iniciara-construccion-de-ciclovia-en-avenida-Javier-Mina-20220929-0069.html
Comerciantes piden se postergue construcción de nueva ciclovía de Javier Mina en Guadalajara;29/09/2022;Publimetro;Bicicleta;Ciclovía;Infraestructura;https://www.publimetro.com.mx/jalisco/2022/09/28/ciclovia-en-la-avenida-javier-mina-comenzara-a-construirse-hasta-enero/
Posponen hasta enero la construcción de ciclovía de Javier Mina;28/09/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/posponen-hasta-enero-la-construccion-de-ciclovia-de-javier-mina/
“Inútil” ciclovía en avenida Patria;27/09/2022;Pagina 24;Bicicleta;Ciclovía;Varios;https://pagina24jalisco.com.mx/2022/09/27/local/inutil-ciclovia-en-avenida-patria/
Celebran 15 años del movimiento ciclista con una Mega Rodada;26/09/2022;Zona docs;Bicicleta;Rodadas;Semana de la movilidad;https://www.zonadocs.mx/2022/09/25/celebran-15-anos-del-movimiento-ciclista-con-una-mega-rodada/
Ruedan decenas de jaliscienses por el Día Mundial sin Auto;25/09/2022;Mural;Bicicleta;Rodadas;Semana de la movilidad;https://www.mural.com.mx/ruedan-decenas-de-jaliscienses-por-el-dia-mundial-sin-auto/ar2475749
Con rodada nocturna, concluyen este domingo actividades de la Semana de la Movilidad;25/09/2022;Lider 919;Bicicleta;Rodadas;Semana de la movilidad;https://lider919.com/con-rodada-nocturna-concluyen-este-domingo-actividades-de-la-semana-de-la-movilidad
Con exhibición de BMX y Skateboard cierran Semana de la Movilidad en Guadalajara;25/09/2022;El Informador;Bicicleta;Rodadas;Semana de la movilidad;https://www.informador.mx/jalisco/Guadalajara-Con-exhibicion-de-BMX-y-Skateboard-cierran-Semana-de-la-Movilidad-20220925-0064.html
Amplían la Vía RecreActiva de Zapopan;25/09/2022;Crónica Jalisco;Bicicleta;Vía recreactiva;Servicio;https://www.cronicajalisco.com/notas-amplian_la_via_recreactiva_de_zapopan-117747-2022
Alcalde y Federalismo, las vías ciclistas más usadas de Guadalajara;23/09/2022;El Informador;Bicicleta;Uso;Aforo;https://www.informador.mx/jalisco/Alcalde-y-Federalismo-las-vias-ciclistas-mas-usadas-de-Guadalajara-20220923-0056.html
Ocho de cada diez ciclistas usan la bici para ir a su trabajo;22/09/2022;El Informador;Bicicleta;Uso;Encuesta;https://www.informador.mx/jalisco/Dia-sin-auto-Ocho-de-cada-diez-ciclistas-usan-la-bici-para-ir-a-su-trabajo-20220922-0181.html
Con activación en Chapalita, niños y niñas celebran el Día Mundial sin Auto;22/09/2022;El Informador;Bicicleta;Bici escuela;Semana de la movilidad;https://www.informador.mx/jalisco/Dia-sin-Auto-Asi-conmemoraron-ninas-y-ninos-esta-fecha-en-Guadalajara-y-Zapopan-20220922-0137.html
Con Mega Rodada y Biciescuela conmemoran el Día Mundial Sin Auto;22/09/2022;Lider 919;Bicicleta;Rodadas;Semana de la movilidad;https://lider919.com/con-mega-rodada-y-biciescuela-conmemoran-el-dia-mundial-sin-auto
En pandemia, ciclovías en Jalisco crecieron 61%;21/09/2022;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Dia-sin-auto-En-pandemia-ciclovias-en-Jalisco-crecieron-61-20220921-0125.html
"Óscar vende su auto para comprarse una bici; ahorra tiempo y dinero";21/09/2022;El Informador;Bicicleta;Uso;Varios;https://www.informador.mx/jalisco/Dia-sin-Auto-Oscar-Alexei-vende-su-auto-para-comprarse-una-bici-ahorra-tiempo-y-dinero-20220921-0129.html
En 14 años se han construido más de 250 kilómetros de ciclovía en el AMG;19/09/2022;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/amg-14-anos-construido-250-kilometros-ciclovia
Preparan rodadas y otras actividades para promover uso de la bici y transporte público en ZMG;18/09/2022;El Informador;Bicicleta;Rodadas;Semana de la movilidad;https://www.informador.mx/jalisco/Dia-sin-auto-Preparan-rodadas-y-otras-actividades-para-promover-uso-de-bici-y-transporte-publico-en-ZMG-20220918-0090.html
Vía RecreActiva suma nuevos paseantes cada domingo;18/09/2022;El Informador;Bicicleta;Vía recreactiva;Varios;https://www.informador.mx/jalisco/Via-RecreActiva-Suman-nuevos-paseantes-cada-domingo-20220918-0070.html
Tlajomulco cuenta con una de las ciclovías más inseguras de la metrópoli;14/09/2022;UDGTV;Bicicleta;Ciclovía;Infraestructura;https://udgtv.com/noticias/tlajomulco-cuenta-con-una-de-las-ciclovias-mas-inseguras-de-la-metropoli/
Celebran 18 años de la Vía RecreActiva;11/09/2022;NTR Guadalajara;Bicicleta;Vía recreactiva;Aniversario;https://www.ntrguadalajara.com/post.php?id_nota=187274
Captan momento en el que un ciclista sufre aparatosa caída, tras atorarse con un cable (VIDEO);07/09/2022;El Informador;Bicicleta;Siniestralidad;Cables;https://www.informador.mx/jalisco/Guadalajara-Captan-momento-en-el-que-un-ciclista-sufre-aparatosa-caida-tras-atorarse-con-un-cable-VIDEO--20220907-0166.html
Bici polo: construir otros juegos y otros mundos a bordo de una bicicleta;31/08/2022;Zonadocs;Bicicleta;Acciones;Varios;https://www.zonadocs.mx/2022/08/31/bici-polo-construir-otros-juegos-y-otros-mundos-a-bordo-de-una-bicicleta/
Dan licitación para renovación de ciclovía en avenida Javier Mina, obras comienzan en septiembre;30/08/2022;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/licitacion-renovacion-ciclovia-avenida-javier-mina
Primeras obras de ciclovía de Javier Mina serán de la Calzada a Belisario Domínguez;30/08/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/primeras-obras-de-ciclovia-de-javier-mina-seran-de-la-calzada-a-belisario-dominguez/
En 10 días arranca construcción de ciclovía de Javier Mina;28/08/2022;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/en-10-dias-arranca-construccion-de-ciclovia-de-javier-mina/355385
Ciclovías: modelo integral para reducir el caos vial en Guadalajara;28/08/2022;El Occidental;Bicicleta;Ciclovía;Varios;https://www.eloccidental.com.mx/local/ciclovias-modelo-integral-para-reducir-el-caos-vial-en-guadalajara-8804574.html
"Ciclovía de Javier Mina respetará los cuatro carriles para coches; buscan incentivar el uso de la bicicleta";27/08/2022;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/ciclovia-javier-mina-respetara-carriles-coches
Habrá ciclovía en Javier Mina sin quitar carriles;26/08/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/habra-ciclovia-en-javier-mina-sin-quitar-carriles/
Inseguridad que se vive en calles no debe ser limitante para moverse en la ciudad: Génesis Hernández;26/08/2022;Canal 44;Bicicleta;Seguridad;Robos;https://www.youtube.com/watch?v=qrNp6YqP1sk
La ciclovía en Javier Mina incluye retirar las telarañas de cables;26/08/2022;UDGTV;Bicicleta;Ciclovía;Varios;https://udgtv.com/noticias/ciclovia-javier-mina-incluye-retirar-telaranas-cables/
La utopía de una movilidad no motorizada | Parte 3;24/08/2022;Canal 44;Bicicleta;Intermodalidad;Equipamiento;https://www.youtube.com/watch?app=desktop&v=kVG7QE0EegU
Movilidad en Guadalajara: Realizarán una ciclovía en Javier Mina;24/08/2022;EL Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Movilidad-en-Guadalajara-Realizaran-una-ciclovia-en-Javier-Mina-20220824-0147.html
Usuarios de MiBici ven rebasado al sistema... y muchas bicicletas descompuestas;24/08/2022;Canal 44;Bicicleta;Bici pública;Servicio;https://www.youtube.com/watch?v=dvHxCr75LAM
Descartan construir ciclovía por Enrique Díaz de León;23/08/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/descartan-construir-ciclovia-por-enrique-diaz-de-leon/
La utopía de una movilidad no motorizada | Parte 2;22/08/2022;Canal 44;Bicicleta;Estacionamiento;Infraestructura;https://www.youtube.com/watch?app=desktop&v=YToG_z1JWQ8
La utopía de una movilidad no motorizada | Parte 1;22/08/2022;Canal 44;Bicicleta;Seguridad;Robos;https://www.youtube.com/watch?app=desktop&v=bEt4CAgz_cY
Confinamiento de un carril de Av. Hidalgo casi llega a Chapultepec;18/08/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/confinamiento-de-un-carril-de-av-hidalgo-casi-llega-a-chapultepec/
Genera dudas el bus-bici;18/08/2022;Mural;Bicicleta;Ciclovía;Varios;https://www.mural.com.mx/genera-dudas-el-bus-bici/ar2455216
BusBici, una prueba de fuego para los tapatíos;18/08/2022;EL Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/ideas/BusBici-una-prueba-de-fuego-para-los-tapatios--20220817-0028.html
Critican taxistas funcionamiento del carril BusBici;18/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/critican-taxistas-funcionamiento-del-carril-busbici/
Instalación de segregadores en Av. Hidalgo terminará la próxima semana;17/08/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/instalacion-de-segregadores-en-av-hidalgo-terminara-la-proxima-semana/
Ni los ciclistas conocen el funcionamiento del carril BusBici;17/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/ni-los-ciclistas-conocen-el-funcionamiento-del-carril-busbici/
BusBici: Más de 2 mil 100 ciclistas aprovecharían diariamente el carril exclusivo;16/08/2022;EL Informador;Bicicleta;Ciclovía;Servicio;https://www.informador.mx/jalisco/BusBici-Mas-de-2-mil-100-ciclistas-aprovecharian-diariamente-el-carril-exclusivo-20220816-0147.html
Automóviles no podrán invadir carril BusBici ni para dar vuelta;16/08/2022;EL Informador;Bicicleta;Ciclovía;Varios;https://www.informador.mx/jalisco/BusBici--Automoviles-no-podran-invadir-carril-ni-para-dar-vuelta-20220816-0039.html
Trabajos en carril Bus-Bici causa confusión y siniestros viales;16/08/2022;Trafico ZMG;Bicicleta;Ciclovía;Varios;https://traficozmg.com/2022/08/trabajos-en-carril-bus-bici-causa-consfusion-y-siniestros-viales/
Taxistas, vehículos de carga y descarga no podrán utilizar carril de BiciBus;16/08/2022;UDGTV;Bicicleta;Ciclovía;Varios;https://udgtv.com/noticias/taxistas-vehiculos-de-carga-descarga-no-utilizar-carril-bicibus/
Multas por invadir carril BusBici serán de 18 mil pesos;16/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/multas-por-invadir-carril-busbici-seran-de-18-mil-pesos/
Cemex y ONG´s crean manual para cuidar al ciclista y prevenir accidentes;16/08/2022;El Occidental;Bicicleta;Ciclovía;Varios;https://www.eloccidental.com.mx/local/cemex-y-ongs-crean-manual-para-cuidar-al-ciclista-y-prevenir-accidentes-8749151.html
Obras públicas son para beneficiar al usuario del transporte público antes que a particulares, asegura Lemus;16/08/2022;Milenio;Bicicleta;Ciclovía;Varios;https://www.milenio.com/politica/comunidad/obras-beneficio-usuarios-transporte-publico-lemus
Surgen dudas sobre uso del carril BusBici;15/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/surgen-dudas-sobre-uso-del-carril-busbici/
Instalan segregadores de carril BusBici en Av. Hidalgo;15/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/instalan-segregadores-de-carril-busbici-en-av-hidalgo/
Programan apertura del bus bici para esta semana en Guadalajara;15/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.youtube.com/watch?v=Gvc1HhsJdtQ
Buscan con video resolver dudas sobre carril BusBici;15/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/buscan-con-video-resolver-dudas-sobre-carril-busbici/
CAPACITA A OPERADORES DE SITREN SOBRE CARRIL BUS-BICI DE AVENIDA HIDALGO EN GUADALAJARA;12/08/2022;Pasajero 7;Bicicleta;Camiones;Educación vial;http://www.pasajero7.com/capacita-a-operadores-sitren-carril-bus-bici-avenida-hidalgo-en-guadalajara/
Prevén que Bus-Bici de Guadalajara arranque a mediados de agosto;12/08/2022;EL Informador;Bicicleta;Ciclovía;Servicio;https://www.informador.mx/jalisco/Movilidad-en-ZMG-Preven-que-Bus-Bici-de-Guadalajara-arranque-a-mediados-de-agosto-20220812-0087.html
Lluvias en Guadalajara han retrasado operación del sistema Bus Bici;10/08/2022;Milenio;Bicicleta;Ciclovía;Infraestructura;https://www.milenio.com/politica/comunidad/bus-bici-guadalajara-lluvias-retrasado-operacion-sistema
Lluvias en Guadalajara han retrasado operación del sistema Bus Bici;10/08/2022;Milenio;Bicicleta;Bici pública;Servicio;https://www.milenio.com/politica/comunidad/bus-bici-guadalajara-lluvias-retrasado-operacion-sistema
Genera caos el balizamiento del carril BusBici por avenida Hidalgo;05/08/2022;Notisistema;Bicicleta;Ciclovía;Varios;https://www.notisistema.com/noticias/genera-caos-el-balizamiento-del-carril-busbici-por-avenida-hidalgo/
"Destacan beneficios del carril exclusivo «BusBici», en avenida Hidalgo; tiempos de traslado se reducirán hasta en un 70%";04/08/2022;Lider 919;Bicicleta;Ciclovía;Beneficios;https://lider919.com/destacan-beneficios-del-carril-exclusivo-busbici-en-avenida-hidalgo-tiempos-de-traslado-se-reduciran-hasta-en-un-70
Asesorará bikeNcity a Guadalajara en infraestructura no motorizada;03/08/2022;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=185597
"Delimitarán carril de la Avenida Hidalgo; será exclusivo para el “Bicibus”.";02/08/2022;Canal 44;Bicicleta;Ciclovía;Infraestructura;https://www.youtube.com/watch?v=ZhKotSxQ8vA
Colocan bicicleta blanca en memoria de joven atropellado;01/08/2022;El Occidental;Bicicleta;Siniestralidad;Bici blanca;https://www.eloccidental.com.mx/policiaca/colocan-bicicleta-blanca-en-memoria-de-joven-atropellado-8676036.html
PIDEN CICLISTAS EN JALISCO MAYOR SEGURIDAD E INFRAESTRUCTURA;01/08/2022;Pasajero 7;Bicicleta;Siniestralidad;Bici blanca;http://www.pasajero7.com/piden-ciclistas-en-jalisco-mayor-seguridad-e-infraestructura/
Proyecto de Bus Bici ya se había planteado con antelación, asegura integrante de Bici Blanca Gdl;01/08/2022;Milenio;Bicicleta;Ciclovía;Varios;https://www.milenio.com/politica/comunidad/bus-bici-planteo-antelacion-asegura-integrante-bici-blanca
En agosto entrará en vigor carril exclusivo bus-bici exclusivo, a lo largo de 3.7 kilómetros, de López Mateos al centro;31/07/2022;Crónica Jalisco;Bicicleta;Ciclovía;Infraestructura;https://www.cronicajalisco.com/notas-en_agosto_entrara_en_vigor_carril_exclusivo_bus_bici_exclusivo_a_lo_largo_de_37_kilometros_de_lopez_mateos_al_centro-116834-2022
Por iniciar obras de ciclovía y corredor comercial Javier Mina;29/07/2022;Trafico ZMG;Bicicleta;Ciclovía;Infraestructura;https://traficozmg.com/2022/07/por-iniciar-obras-de-ciclovia-y-corredor-comercial-javier-mina/
BusBici, listo para el 15 de agosto: GDL;28/07/2022;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=185329
Corredor en Javier Mina, para finales de agosto;28/07/2022;NTR Guadalajara;Bicicleta;Ciclovía;Infraestructura;https://www.ntrguadalajara.com/post.php?id_nota=185355
GUADALAJARA APUESTA POR CARRIL BUSBICI SOBRE AV. HIDALGO;26/07/2022;Pasajero 7;Bicicleta;Ciclovía;Infraestructura;https://www.pasajero7.com/guadalajara-apuesta-carril-busbici-av-hidalgo/
Estos son todos los detalles del BusBici, el nuevo carril exclusivo en Avenida Hidalgo;26/07/2022;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/BusBici-Estos-son-todos-los-detalles-del-nuevo-carril-exclusivo-en-Avenida-Hidalgo---20220726-0151.html
Afirman que propusieron carril BusBici en Guadalupe y lo rechazaron;26/07/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/afirman-que-propusieron-carril-busbici-en-guadalupe-y-lo-rechazaron/
Acusan falta de estudios en el proyecto BusBici;26/07/2022;Notisistema;Bicicleta;Ciclovía;Infraestructura;https://www.notisistema.com/noticias/acusan-falta-de-estudios-en-el-proyecto-busbici/
Alistan multas de hasta 20 mil pesos por invadir BusBici;26/07/2022;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Movilidad-en-Guadalajara-Alistan-multas-de-hasta-20-mil-por-invadir-BusBici-20220726-0032.html
¿Cuándo iniciará la división de carril del BusBici en Avenida Hidalgo?;25/07/2022;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Movilidad-en-Guadalajara-Cuando-iniciara-la-division-de-carril-de-BusBici-en-Avenida-Hidalgo-20220725-0111.html
Bus bici un proyecto;22/07/2022;Meganoticias;Bicicleta;Ciclovía;Infraestructura;https://www.meganoticias.mx/guadalajara/noticia/bus-bici-un-proyecto-donde-circularan-bicicletas-y-trolebus/346478
