Nota;Fecha;Medio;Tema;Subtema;Sub-subtema;Link;
Presentan nuevo manual ciclista para sumar a más personas a este medio de transporte;21/09/2023;El Informador;Bicicleta;cultura vial;Manual;https://www.informador.mx/jalisco/Presentan-nuevo-manual-ciclista-para-sumar-a-mas-personas-a-este-medio-de-transporte-20230921-0130.html;
VIDEO: Captan a ciclista pedaleando sobre carriles centrales de Mariano Otero;20/09/2023;Azteca Jalisco;Bicicleta;Denuncia;Varios;https://www.aztecajalisco.com/azteca-noticias/captan-ciclista-pedaleando-carriles-centrales-mariano-otero;
Ciclistas hacen 817 viajes cada 15 minutos;19/09/2023;UDGTV;Bicicleta;Semana de la movilidad;Aforo;https://udgtv.com/noticias/ciclistas-hacen-817-viajes-cada-15-minutos-/196860;
En 2023 Guadalajara habilitará 30 km de nuevas ciclovías;12/09/2023;Lider 919;Bicicleta;Ciclovía;Infraestructura;https://lider919.com/en-2023-guadalajara-habilitara-30-km-de-nuevas-ciclovias/;
Aumentan 500% recorridos ciclistas en avenida Hidalgo por Bus Bici;12/09/2023;Lider 919;Bicicleta;Infraestructura;Varios;https://lider919.com/aumentan-500-recorridos-ciclistas-en-avenida-hidalgo-por-bus-bici/;
Vía RecreActiva cumple 19 años de vida y atrae a 100 mil personas cada domingo;10/09/2023;Crónica Jalisco;Bicicleta;Vía recreactiva;Varios;https://www.cronicajalisco.com/notas-via_recreactiva_cumple_19_anos_de_vida_y_atrae_a_100_mil_personas_cada_domingo-123220-2023;
Sigue en pie ampliación del BusBici de avenida Hidalgo-República;08/09/2023;Notisistema;Bicicleta;Ciclovía;Bus bici;https://www.notisistema.com/noticias/sigue-en-pie-ampliacion-del-busbici-de-avenida-hidalgo-republica/;
Para el próximo año se aplicará el Bus Bici de Guadalajara;08/09/2023;EL occidental;Bicicleta;Ciclovía;Bus bici;https://www.eloccidental.com.mx/local/para-el-proximo-ano-se-aplicara-el-bus-bici-de-guadalajara-10663576.html;
Inauguran ciclovía de Av. Javier Mina... con detallitos;08/09/2023;Mural;Bicicleta;Ciclovía;Varios;https://www.mural.com.mx/inauguran-ciclovia-de-av-javier-mina-con-detallitos/ar2671812;
Inauguran Corredor Integral Javier Mina en Guadalajara;07/09/2023;El Informador;Bicicleta;Ciclovía;Infraestructura;https://www.informador.mx/jalisco/Guadalajara-Inauguran-Corredor-Integral-Javier-Mina-20230907-0089.html;
