medio,fecha,titulo,nivel,estado,chars,segundos,url_final,error,texto
Mural,27/02/2021,Defienden ciclistas rutas en Bosque La Primavera,trafilatura,trafilatura,305,0.78,https://www.mural.com.mx/defienden-ciclistas-rutas-en-bosque-la-primavera/ar2133705?v=3,,"COMUNIDAD
03 MIN 00 SEG
Sara Ochoa
Guadalajara, México (27 febrero 2021) .-05:00 hrs
Grupos de ciclistas visitan constantemente el Bosque La Primavera. Crédito: Archivo
Grupos de ciclistas que recorren el Bosque La Primavera defendieron las rutas donde llevan a cabo sus actividades deportivas en la zona."
Cronica Jalisco,28/02/2021,"Actividad física toma los espacios del parque Rojo, tras dejar atrás restricciones por la pandemia",error,error,0,138.23,chrome-error://chromewebdata/,"ConnectTimeout: HTTPSConnectionPool(host='www.cronicajalisco.com', port=443): Max retries exceeded with url: /notas-video_actividad_fisica_toma_los_espacios_del_parque_rojo_tras_dejar_atras_restricciones_por_la_pandemia-106896-2021 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f06be431a90>, 'Connection to www.cronicajalisco.com timed out. (connect timeout=5)'))",
Mural,28/02/2021,Son irregulares 80% de rutas ciclistas en La Primavera,trafilatura,trafilatura,362,0.88,https://www.mural.com.mx/son-irregulares-80-de-rutas-ciclistas-en-la-primavera/ar2134071,,"COMUNIDAD
04 MIN 30 SEG
Violeta Meléndez
Guadalajara, México (28 febrero 2021) .-05:00 hrs
El ciclismo es una actividad descontrolada de cuyas rutas vigentes, sólo 20 por ciento están trazadas dentro de la zona de uso público, indicó un documento de La Primavera. Crédito: Archivo
El Bosque La Primavera es Reserva de Biosfera y pista de ciclismo sin regulación."
Canal 44,01/03/2021,"Vía RecreActiva atrae de nuevo a miles de paseantes; parque Rojo, epicentro de la actividad física",error,error,0,17.25,https://www.youtube.com/watch?v=Eq2g6kXJwC4,,
Mural,01/03/2021,Aceleran erosión en La Primavera,trafilatura,trafilatura,477,0.76,https://www.mural.com.mx/aceleran-erosion-en-la-primavera/ar2134507,,"COMUNIDAD
03 MIN 00 SEG
Grupo REFORMA
Guadalajara, México (01 marzo 2021) .-05:00 hrs
El 80 por ciento de las rutas ciclistas en La Primavera contraviene la zonificación vigente del área protegida. Crédito: Especial
Las actividades sin regulación que se realizan dentro de La Primavera y generan erosión de suelo, como el ciclismo, aceleran la pérdida de infiltración de agua en el bosque y, en el contexto del cambio climático, se estima que caiga hasta 31 por ciento en 2050."
Tribunal bahia,01/03/2021,Complican obstáculos la circulación de la nueva ciclovía,error,error,0,10.39,https://tribunadelabahia.com.mx/noticias/puerto-vallarta/complican-obstaculos-la-circulacion-de-la-nueva-ciclovia-43626,HTTP 404,
Meganoticias,04/03/2021,Ciclovia de Guadalupe avanza al 60%,trafilatura,trafilatura,3257,0.59,https://www.meganoticias.mx/guadalajara/noticia/ciclovia-de-guadalupe-avanza-al-60/225257,,"Obra Pública
                                                                    
                                                Por:
                                                                    								Karla Jiménez
                    							 
                    							
Guadalajara
Fecha: 04-03-2021
                                        Guadalajara
Fecha: 04-03-2021
La controversial ciclovía de Avenida Guadalupe que comprende (en el municipio de Zapopan) 4.2 kilómetros de Niño Obrero a Periférico, registra avance del 60%, confirmó el director de Movilidad de ese municipio, Carlos  Soto, quien detalló que el tiempo de entrega está estimado en un mes.
Por ahora se mantienen diferentes trabajos para mejorar la seguridad de los propios ciclistas y 22 plataformas de transporte público para dar seguridad a los usuarios.
 ""Una especie de isletas de concreto que quedan sobre la ciclovía para que el usuario pueda acceder a nivel banqueta a las unidades de transporte público. Llevamos ejecutadas 12 de esas 22, quedan 10 pendientes en ambos cuerpos, cuerpo sur, cuerpo norte de Avenida Guadalupe, faltan 10 de esas. También va a haber 27 sustituciones de rejillas peligrosas"" Carlos Soto, director de Movilidad 
Además se trabaja para el cambio de 47 losas de rodamiento y el relleno de asfalto para que las llantas no se afecten en estas separaciones.
Respecto a los últimos números de tránsito ciclista en el carril, el director confirmó un incremento durante los últimos meses, pues del 2016, cuando se realizaron los primeros estudios, se registró el flujo de mil 300 ciclistas y ahora es superior a los 2 mil 100.
""Gradualmente ha ido aumentado el porcentaje de viajes en la ciclovía. Temas o puntos importantes hay un incremento del 5% de viajes de mujeres en el corredor, hay un decrecimiento de viajes en banqueta del 11%"", agregó el funcionario municipal 
Los ciclistas confirman que han decidido cambiar su movilidad por la seguridad y rapidez que genera este espacio.
""Diario, todos los días uso la ciclovía de Peri hasta la Glorieta Chapalita. Sí, de hacer en el camión media hora o hasta 45 minutos, ahorita ya hago 15 minutos"". Priscila Guerrero, ciclista
""Como vivo cerca, se me facilita. Es más fácil que salir, esperar el camión e irte"" 01?12"" 01?22"" ""Sí, porqué no tiene uno que estarse saliendo a donde están los carros. Le da a uno la seguridad de andar en este tramo y no que vayas allá o que acá se metan los carros y tal vez te atropellen o pase algo así""  Sebastián, ciclista
Para los conductores que transitan por la zona y comerciantes, el carril ciclista ha generado más tránsito vehícular:
""Sí nos hace un poquito de tráfico la verdad y no veo que la utilicen, la verdad. De aquí Guadalupe hasta Lázaro y no veo que la utilicen la verdad"" Rigoberto Medina
""Está hecha con las patas, o sea, no sé si hicieron los estudios adecuados o no. Nosotros tenemos negocios aquí, vemos todo el día el flujo de ciclistas que pasa y es casi nulo, pasará uno cada media hora"" Efraín Cobos 
La obra contempla una inversión final que ronda los 17 millones de pesos y actualmente el municipio está en diálogos con la policía vial del estado, para el señalamiento y sanción a motocicletas y vehículos que invaden la vía ciclista."
Canal 44,15/03/2021,En Guadalajara se queda sin vía recreativa y en Zapopan se instaló con todas las medidas sanitarias,error,error,0,13.69,https://www.youtube.com/watch?v=1gQzf67nJX4,,
NTRGuadalajara,16/03/2021,Ignoran medidas en la Vía RecreActiva,trafilatura,trafilatura,1063,0.4,https://www.ntrguadalajara.com/post.php?id_nota=163682,,"Entre los usuarios y familias que ayer acudieron a los diferentes puntos de la Vía RecreActiva de Zapopan hubo un relajamiento de las medidas sanitarias ante el Covid-19, pues muchos evitaron los filtros que instaló el Municipio y no portaron el cubrebocas.
El gobierno de Zapopan fue el único que instaló la Vía en el día feriado, ya que el de Guadalajara se abstuvo.
Si bien hubo sanitización de bicicletas y aplicación de gel antibacterial en la Ex Villa Maicera, en varios puntos los filtros no contemplaron las tomas de temperatura. Además, se toleró el ingreso sin cubrebocas.
Al igual que en la Vía de Guadalajara, en la de Zapopan se vieron fallas en los accesos transversales al paseo, pues en éstos no hubo vigilancia sanitaria ni personal para apercibir sobre el uso del cubrebocas.
De acuerdo con información proporcionada por el ayuntamiento zapopano, ayer acudieron a la Vía 30 mil usuarios desde las 8 y hasta las 14 horas.
El Municipio instaló puntos de sanitización de bicicletas en los ingresos de Patria, Tabachines y Parque Metropolitano.
jl/I"
El informador,31/03/2021,"Gobierno, imposibilitado de castigar a ciclistas que incumplen norma",trafilatura,trafilatura,5984,0.19,https://www.informador.mx/jalisco/Gobierno-imposibilitado-de-castigar-a-ciclistas-que-incumplen-norma--20210331-0017.html,,"Gobierno, imposibilitado de castigar a ciclistas que incumplen norma
Al carecer de matrícula y permiso para circular, la Policía Vial no puede ejercer contra los ciclistas que violan as normas
Algunos ciclistas circulan en sentido contrario para que los automovilistas los vean de frente, pues la mayorÃa no los respeta. EL INFORMADOR/F. Atilano
No sÃ³lo los conductores de autos incumplen las normas viales, tambiÃ©n hay ciclistas que, por desconocimiento u omisiÃ³n, rompen las reglas de movilidad en la ciudad. El problema es que la PolicÃa Vial no puede sancionarlos por no tener matrÃcula.
Pedalear sobre la banqueta, en sentido contrario, sin aditamentos de seguridad, pasarse los altos e incluso llevar a mÃ¡s de una persona son algunas faltas detectadas durante un recorrido realizado por avenidas con ciclovÃa como Ãvila Camacho, Federalismo y Washington.
Los infractores dijeron que iban sobre la banqueta para sentirse mÃ¡s seguros, pues la mayorÃa de automovilistas âno los respetaâ. Quienes circulaban en sentido contrario aÃ±adieron que asÃ se aseguraban de que los conductores âlos vieran de frenteâ.
Los que no portaban casco afirmaron que recorrÃan distancias cortas y âno lo sentÃan tan necesarioâ; otros, que âno les gusta usarloâ. La mayorÃa asegurÃ³ desconocer que incumplÃa la normatividad vigente.
De acuerdo con el ArtÃculo 12 bis de la Ley de Movilidad y Transporte del Estado, quienes vayan en bicicleta tienen la obligaciÃ³n de respetar los seÃ±alamientos de circulaciÃ³n, asÃ como los espacios peatonales, viajar en el sentido de la vÃa, no exceder la capacidad de transporte, mantener su unidad en buen estado y usar aditamentos, bandas reflejantes y luces.
Sin embargo, la SecretarÃa de Seguridad, a cargo de la PolicÃa Vial, reconociÃ³ que si bien es su deber hacer cumplir la ley (aunque tambiÃ©n pueden hacerlo los agentes viales municipales), no puede sancionar o exigir el cumplimiento de las obligaciones de los ciclistas porque estos vehÃculos no tienen matrÃcula ni se les exige un permiso o licencia de circulaciÃ³n, como en el caso de las motocicletas y los vehÃculos de cuatro ruedas.
Piden impulsar educaciÃ³n vial para ciclistas en ZMG
Con la finalidad de formar nuevos ciclistas que conozcan las normas que deben cumplir, asÃ como sus derechos sobre la movilidad, el colectivo GDL en Bici hizo un llamado a las autoridades para impulsar proyectos de educaciÃ³n vial que los ayuden a circular con mayor seguridad, aprovechando la infraestructura ciclista existente.
âEl Gobierno deberÃa tener mÃ¡s espacios de educaciÃ³n donde la gente que tenga interÃ©s de conocer estos temas pueda acercarse a hacerlo. No se trata sÃ³lo de construir un espacio, sino de invertir en materiales y personal que estÃ© dispuesto a apoyar a los nuevos ciclistasâ, dijo Yeriel Salcedo, integrante de GDL en Bici.
Otro proyecto que podrÃa aplicarse en Jalisco, aÃ±adiÃ³, es el de formar ciclistas desde la educaciÃ³n bÃ¡sica, haciendo visitas cada cierto periodo a las escuelas para educar a las y los niÃ±os sobre el uso adecuado de la bicicleta, como ocurre en EspaÃ±a y Holanda.
Uno de los pocos proyectos que hay es la Biciescuela del Ayuntamiento de Guadalajara, misma que se encuentra suspendida de manera presencial debido a la alerta sanitaria por COVID-19, mientras que desde lo civil lo hace el colectivo GDL en Bici.
Salcedo aÃ±adiÃ³ que se tenÃa previsto un proyecto en conjunto con la Agencia Metropolitana de Infraestructura para La Movilidad (AMIM) para retomar y relanzar, de manera sintÃ©tica, el Manual del Ciclista Urbano, elaborado a mediados de 2016 por el entonces Instituto de Movilidad y Transporte (IMT)y 18 organizaciones ciclistas, y que fue distribuido de manera gratuita. Sin embargo, afirmÃ³ que el proyecto quedÃ³ âen pausaâ debido a la pandemia y no ha sido reestablecido.
A partir de la nueva administraciÃ³n estatal, el IMT pasÃ³ a formar parte del Instituto Metropolitano de PlaneaciÃ³n (Imeplan), que informÃ³ que por el momento se han establecido otras estrategias para motivar a los ciclistas a cumplir la norma por su seguridad y para la sana convivencia con el resto de los integrantes de la pirÃ¡mide de movilidad.
Por ejemplo, mediante publicaciones en sus redes sociales y las de MiBici PÃºblica con consejos para circular con precauciÃ³n, como el hacer seÃ±alamientos con los brazos para avisar a los automovilistas que se darÃ¡ vuelta, informando sobre la seÃ±alÃ©tica de la infraestructura ciclista o recordando a los automovilistas que, al rebasar, deben hacerlo a una distancia de al menos 1.5 metros.
El Manual del Ciclista Urbano tambiÃ©n estÃ¡ disponible en lÃnea, en la liga info.jalisco.gob.mx/sites/default/files/leyes/manual_de_ciclismo_urbano.pdf. Los usuarios pueden descargarlo y compartirlo.
Por Ãºltimo, Salcedo llamÃ³ a la comunidad ciclista mÃ¡s experimentada a cubrir los huecos que se tienen hasta ahora por parte de las autoridades, con la finalidad de orientar a los nuevos usuarios sobre las normas que deben cumplir.
LAS REGLAS BÃSICAS
Â¿QuÃ© debe hacer un ciclista?
- Atender las seÃ±ales de trÃ¡nsito y las indicaciones de los agentes viales.
- Respetar los seÃ±alamientos y dispositivos que regulen la circulaciÃ³n vial compartida o la exclusiva, asÃ como los que son para el peatÃ³n.
- Dar preferencia de paso a las personas con discapacidad.
- Circular en el sentido de la vÃa.
- No exceder la capacidad de transporte o carga de la bicicleta, evitando transportar a niÃ±os y
- niÃ±as menores de cuatro aÃ±os, a menos que use en un asiento especial para ese fin.
- Mantener su bicicleta en buen estado, de modo que no corra riesgo de accidentes.
- Usar aditamentos, bandas reflejantes y, en su caso, luces para uso nocturno.
- Rebasar sÃ³lo por el carril izquierdo e indicar la direcciÃ³n de su giro o cambio de carril con la mano.
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
EL informador,31/03/2021,Movilidad en Jalisco: Implementarán biciescuelas en la ZMG,trafilatura,trafilatura,3123,0.25,https://www.informador.mx/jalisco/Movilidad-en-Jalisco-Implementaran-biciescuelas-en-la-ZMG--20210331-0104.html,,"Movilidad en Jalisco: ImplementarÃ¡n biciescuelas en la ZMG
Aún no se revelaÂ la fecha en la cual podrá comenzar la operación de estos cursos,Â pero la autoridad adelantaÂ que se pretende iniciar con las mujeres beneficiarias de Mi Pasaje Apoyo a Mujeres
El colectivo GDL en Bici hizo un llamado a las autoridades para que implementen estrategias de educaciÃ³n ciclista. EL INFORMADOR / F. Atilano
Con la finalidad de impulsar la movilidad ciclista de manera ordenada y segura, serÃ¡ que las autoridades estatales implementen biciescuelas en la MetrÃ³poli con apoyo de las direcciones de Movilidad de alcaldÃas.
La coordinadora General EstratÃ©gica de GestiÃ³n del Territorio, Patricia MartÃnez, explicÃ³ esta maÃ±ana durante la entrega de pasajes gratuitos a mujeres, que prÃ³ximamente se llevarÃ¡n a cabo cursos ciclistas para que las personas âse animenâ a utilizar la bicicleta como un medio de transporte.
âVamos a tener biciescuelas con el apoyo de las direcciones de Movilidad de los municipios de Guadalajara y Zapopan para en algunos puntos de la ciudad estarles dando consejos sobre cÃ³mo moverse en bicicleta porque muchas veces es mÃ¡s efectivo hacer trayectos cortos en la bici que esperar por el transporte pÃºblicoâ, expresÃ³.
Aunque todavÃa no revelÃ³ la fecha en la cual podrÃ¡ comenzar la operaciÃ³n de estos cursos en coordinaciÃ³n con los ayuntamientos (quienes ya tienen sus propias biciescuelas en lo local), la CoordinaciÃ³n General EstratÃ©gica de GestiÃ³n del Territorio adelantÃ³ que los mismos ya se detallan en conjunto con la Agencia Metropolitana De Infraestructura Para La Movilidad (AMIM) para definir su contenido.
âSe pretende iniciar con las mujeres beneficiarias de Mi Pasaje Apoyo a Mujeres en los prÃ³ximos meses y actualmente estÃ¡n en proceso de elaboraciÃ³n las bases de licitaciÃ³nâ, seÃ±alÃ³.
Las biciescuelas en Guadalajara y Zapopan operaban ya desde abril y octubre de 2018 respectivamente, sin embargo, debido a la pandemia ocasionada por el coronavirus la DirecciÃ³n de Movilidad tapatÃa optÃ³ por trasladar los cursos a lo virtual, mientras que en el caso de Zapopan se optÃ³ por su suspensiÃ³n âpara evitar riesgos de contagio entre sus usuariosâ, y estos no serÃ¡n retomados sino hasta nuevo aviso.
Para formar parte de los cursos de EducaVial de Guadalajara, en los cuales se brindan consejos para una mejor movilidad, incluyendo la movilidad ciclista, es necesario que la persona interesada se registre en el siguiente enlace http://guadalajara.gob.mx/registroeducavial. Los dÃas en los que se brinda el curso son los miÃ©rcoles, jueves y sÃ¡bado en dos horarios: matutino de 8:55 a 11:00 horas, y el vespertino de 14:55 a 17:00 horas.
Hoy miÃ©rcoles este medio de comunicaciÃ³n dio a conocer que debido a que las bicicletas no tienen matrÃcula, ni la policÃa vial de la secretarÃa de Seguridad del Estado ni los agentes viales municipales pueden sancionar a los ciclistas que incumplen la Ley de Movilidad.
NR
Lee TambiÃ©n
Recibe las Ãºltimas noticias en tu e-mail
Todo lo que necesitas saber para comenzar tu dÃa
Registrarse implica aceptar los TÃ©rminos y Condiciones"
NTRGuadalajara,04/04/2021,Suspenden Vía y cierran unidades por Alerta,trafilatura,trafilatura,933,0.27,https://www.ntrguadalajara.com/post.php?id_nota=164508,,"Debido a la Alerta Atmosférica que se activó en la ciudad por el incendio forestal en el bosque La Primavera, se suspendió la Vía RecreActiva y se cerraron unidades deportivas.
El Ayuntamiento de Guadalajara confirmó a través de sus redes sociales la implementación de estas medidas, y recomendó no realizar actividades al aire libre.
También sugirió a la población mantener puertas y ventanas cerradas, y procurar que personas con enfermedades respiratorias permanezcan en interiores.
Por su parte, el ayuntamiento de Zapopan también informó sobre la suspensión de su recorrido ciclista por los mismos motivos.
Debido al humo que se esparció por varios puntos de la ciudad, la Secretaría de Medio Ambiente y Desarrollo Territorial amplió este domingo la Alerta Atmosférica a Guadalajara y Tlaquepaque.
Desde días antes ya aplicaba para Zapopan y municipios del interior del estado como Tala, Ameca, Ahualulco de Mercado y Cocula.
JB"
Notisistema,08/04/2021,Vecinos de Camichines se oponen a ciclovía,playwright,playwright,252,6.79,https://www.notisistema.com/noticias/vecinos-de-camichines-se-oponen-a-ciclovia/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Milenio,09/04/2021,Ameca invita a recorridos y rodadas en bici,trafilatura,trafilatura,1539,0.29,https://www.milenio.com/politica/comunidad/recorridos-en-bicicleta-se-realizan-en-ameca-jalisco,,"Los recorridos turísticos dramatizados de Ameca, se han enriquecido con la invitación a realizarlos en bicicleta como el que se realizará hoy a la Hacienda El Cabezón hoy, partiendo de las 19:00 horas de Río tu espacio, según anunció Lorohama Aguayo, regidora del Ayuntamiento de Ameca.
La funcionaria comentó que desde hace dos meses que se iniciaron este tipo de rodadas, “tenemos una participación de entre 30 y 40 personas, es una oportunidad diferente de conocer lugares históricos y característicos del municipio en un ambiente sano. Todo se realiza con las medidas sanitarias necesarias, se les pide a los asistentes acudir con casco y cubrebocas. En cada recorrido conservamos las narraciones dramatizadas a cargo del actor David Uribe, con el fin de hacerlos más interesantes”.
“Además de ofertar recorridos fijos y rodadas a las que acuden los interesados sin reservación previa se cuenta con otras opciones para las cuales se solicita llamar antes como lo son los recorridos turísticos al Centro Cultural Hilarión Romero Gil, uno dedicado a edificios emblemáticos del Centro Histórico, a la Estación de tren, a los panteones y Río tu espacio. También los hay más de senderismo como los que se realizan a UMA Reserva Natural y la Presa Ojo de Agua. 
De acuerdo con Luis Sandoval Godoy en su serie de textos titulada “Y las atrapó el silencio…Haciendas”, se trata de una finca que comenzó a edificarse en 1572.
Mayor información de estas actividades en la página de Facebook Recorridos Nocturnos y en el teléfono 33 3189-4886.
SRN"
Notisistema,09/04/2021,"Antes de ciclovías que pongan servicios, exigen vecinos",playwright,playwright,252,5.79,https://www.notisistema.com/noticias/antes-de-ciclovias-que-pongan-servicios-exigen-vecinos/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Mural,12/04/2021,Cinco tips para evitar que te roben tu bicicleta,trafilatura,trafilatura,399,0.83,https://www.mural.com.mx/cinco-tips-para-evitar-que-te-roben-tu-bicicleta/ar2161486,,"Cinco tips para evitar que te roben tu bicicleta
04 MIN 00 SEG
Gabriel Trujillo
Guadalajara, México (12 abril 2021) .-05:00 hrs
Víctimas y colectivos han identificado varios puntos peligrosos de la Perla Tapatía donde los ciclistas son propensos a robos. Crédito: Especial
Víctimas y colectivos han identificado varios puntos peligrosos de la Perla Tapatía donde los ciclistas son propensos a robos."
NTRGuadalajara,18/04/2021,"Filtros de Vía RecreActiva, con pendientes en Zapopan",trafilatura,trafilatura,804,0.38,https://www.ntrguadalajara.com/post.php?id_nota=165149,,"Los filtros sanitarios de la Vía Recreactiva de Zapopan siguen teniendo pendientes por atender.
A mediados de marzo este medio reportó que en el recorrido dominical se permitía el ingreso a personas que no portaban el cubrebocas, lo cual se repitió en una visita hecha ayer.
Al recorrer avenida Patria, NTR comprobó que varios ciclistas, personas a pie, trotando o en patines no portaron el cubrebocas ni tampoco pasaron por un proceso de sanitización.
También se corroboró que se siguen descuidando los accesos transversales al recorrido, lo cual ayer fue aprovechado por miles de personas para evadir filtros.
Al hacer un sondeo entre los usuarios sobre los cercos de sanidad en el paseo dominical se llegó a la conclusión de que éstos tienen diversas fallas, tanto en Zapopan como en Guadalajara.
jl/I"
Canal 44,20/04/2021,"Falta mayor conciencia y respeto sobre el uso de las ciclovías en Puerto Vallarta, acusan ciclistas",error,error,0,16.12,https://www.youtube.com/watch?v=m7QIv5QYiq4,,
Notisistema,24/04/2021,Vecinos de Providencia rechazan bicipuerto en Ontario y Manuel Acuña,playwright,playwright,252,5.5,https://www.notisistema.com/noticias/vecinos-de-providencia-rechazan-bicipuerto-en-ontario-y-manuel-acuna/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Notisistema,27/04/2021,Ciclopuerto en Providencia sí fue socializado: Agencia Metropolitana para la Movilidad,playwright,playwright,252,5.85,https://www.notisistema.com/noticias/ciclopuerto-en-providencia-si-fue-socializado-agencia-metropolitana-para-la-movilidad/,HTTP 404,"Derechos Reservados - Notisistema 2018 |Defensoría de Audiencia|Aviso de Privacidad

Notisistema utiliza cookies para ofrecerte una mejor experiencia de navegación y entrega de publicidad. Al navegar en nuestro sitio aceptas las cookies que utilizamos."
Meganoticias,29/04/2021,Piden terminar ciclovía de camino al ITESO,trafilatura,trafilatura,2267,0.63,https://www.meganoticias.mx/guadalajara/noticia/piden-terminar-ciclovia-de-camino-al-iteso/239183,,"Obra Pública
                                                                    
                                                Por:
                                                                    								Daniela Rodríguez
                    							 
                    							
Guadalajara
Fecha: 29-04-2021
                                        Guadalajara
Fecha: 29-04-2021
Usuarios de la ciclovía que corre de camino al Iteso pidieron que ya se le dé fin a este proyecto, pues aseguran que al estar a medias, tienen que arriesgarse a transitar entre los vehículos.
Y es que hay quienes utilizan este camino para trasladarse en bicicleta a sus trabajos, por lo que reconocen la funcionalidad de la ciclovía, pero aceptan que no será segura hasta estar terminada.
""Bien, nada más que si hace falta que la crezcan más. Por a medias, por el carril, los carros pasan bien pegaditos. La gente a veces se viene caminando aquí por la vía y hay que esquivarlos más que nada"", dijo Daniel García, ciclista.
Por su parte, transeúntes también señalaron que son pocos los ciclistas que la utilizan y se ha convertido más en una baqueta.
""Mal, porque no la usan, pasan por abajo todos, todos pasan por debajo, raro el que pasa por arriba, como la gente grande si pasa por arriba, pero la mayoría si van por abajo todos. Claro que sí, sino entonces para qué la pusieron, más a parte faltan unos cordones para que no se estén metiendo los de las bicis de repente y se atraviesan con la gente. Está inconclusa, está a la mitad, nada más unos pedazos; osea como aquí que está el Iteso y es la fachada, pero nada más. Hay lugares donde de veras se necesitan, como aquí no se necesita porque no la usa la gente, no la usa, y si transita mucha gente, pero no la usan, dijo Jimmy Prieto, quien caminaba por la zona.
De acuerdo a información de la Secretaría de Infraestructura y Obra Pública (SIOP), esta ciclovía tiene una extensión de 1.3 kilómetros de López Mateos hasta el Iteso y cuenta con una inversión de 12.7 millones de pesos.
Este espacio tendrá la modernización de la ciclovía, elementos de seguridad para confinar la ciclovía, jardineras infiltrantes, reposición de rejillas, señalética y zona de parabuses, que se espera concluir en la primera quincena de junio."
NTRGuadalajara,29/04/2021,Presentan nueva app del sistema MiBici,trafilatura,trafilatura,1042,0.46,https://www.ntrguadalajara.com/post.php?id_nota=165613,,"El sistema de bicicleta pública, MiBici, tiene desde ayer una nueva aplicación móvil (app). Entre las nuevas funciones permite liberar unidades por medio de un código.
La Agencia Metropolitana de Servicios de Infraestructura para la Movilidad (Amim) presentó la app, con la cual se busca que los usuarios estén más conectados con el sistema.
La AMIM resaltó que la aplicación permitirá a los usuarios estar en contacto con asesores de MiBici para resolver dudas o levantar reportes vía telefónica o a través de un chat disponible de lunes a domingo de 5 a la 1 horas.
Además, se integró un botón para solicitar servicios de emergencia al 911 y de asistencia médica.
En torno a la liberación de bicis por código, la agencia explicó que la aplicación puede generar uno al estar cerca de un ciclopuerto, mismo que tendrá una vigencia de 5 minutos para desanclar la unidad. Esta función sólo se podrá realizar al iniciar sesión en la app con correo y contraseña.
La aplicación ya está disponible y puede descargarse tanto para iOS y Android.
jl/I"
Pagina 24,29/04/2021,Ciclovía en Tetlán genera problemas de movilidad,trafilatura,trafilatura,2180,0.63,https://pagina24jalisco.com.mx/2021/04/29/local/ciclovia-en-tetlan-genera-problemas-de-movilidad/,,"Peatones y automovilistas padecen para circular, dicen
El tráfico es abrumador a causa de que se redujo la vía, además de que han ocurrido accidentes debido a la imprudencia de algunos usuarios
Por Rafael Hernández Guízar
Vecinos en la zona de Tetlán, en Guadalajara y Tonalá, se dijeron muy molestos por la instalación de la ciclovía.
Alberto Velázquez, uno de los habitantes de esta zona, indicó que hay muchos problemas pues se redujo la vía y por ello, el tráfico es abrumador, pero también impide un acceso fácil a las banquetas, según señaló.
“Mire claro, simplemente no te puedes arrimar; para arrimarte a las banquetas, a mí como automovilista sí me afecta porque la calle se hace más angosta, mira cómo va saliendo por ejemplo un camión y no puede dar la vuelta y ya ha habido (sic) accidentes a causa de eso, ahora hasta nos ponen la ciclovía aquí, eso nos está perjudicando, igualmente en el Parque de la Solidaridad, en la calle de Malecón, de igual forma ya lo cerraron, redujeron una vía que era más amplia y podías manejar a gusto, ahora con estas cosas ya nos perjudicaron”.
Agregó que el peligro es principalmente para los peatones, pues los ciclistas no respetan los cruces, y generalmente no frenan o dan el paso a los transeúntes.
“Eso es otra cosa, que los carros hacen alto, pero los de las bicicletas no hacen alto, porque para ellos no hay semáforo y deberían de poner al menos un señalamiento para que hicieran alto en los cruces de las calles porque aquí pues es muy transitado por personas, personas mayores que pasan despacio, porque para ellos es peligroso, para cualquiera”.
Por ello, aprovechó el espacio en Página 24 para hacer un llamado a las autoridades estatales y municipales: “Deben de tomar medidas y verificar bien si esa obra que están haciendo es adecuada, porque al de la bicicleta a lo mejor sí le conviene pero a un transeúnte y a un automovilista no, porque si se fija dan vuelta los vehículos y vienen encarrerados (sic), pues van a ocasionar accidentes. De hecho, si yo pudiera yo lo quitaba porque es un peligro, mejor es tomar tus precauciones como ciclista, no es lo que yo diga, que vengan y vean lo que está pasando”, finalizó."
